"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","deve retornar dados do usuário","userController","Sat Sep 06 22:28:17 UTC 2025","passed","Sat Sep 06 22:28:17 UTC 2025","","","",""
"","28","deve autenticar e retornar token","GraphQL Controller (unit)","Sat Sep 06 22:28:17 UTC 2025","passed","Sat Sep 06 22:28:17 UTC 2025","","","",""
"","1","deve retornar dados do usuário autenticado","GraphQL Controller (unit)","Sat Sep 06 22:28:17 UTC 2025","passed","Sat Sep 06 22:28:17 UTC 2025","","","",""
"","1","deve retornar 404 se livro não existe","bookController","Sat Sep 06 22:28:17 UTC 2025","passed","Sat Sep 06 22:28:17 UTC 2025","","","",""
"","1","deve retornar 404 se usuário não existe","userController","Sat Sep 06 22:28:17 UTC 2025","passed","Sat Sep 06 22:28:17 UTC 2025","","","",""
"","1","deve retornar 400 se faltar campo","bookController","Sat Sep 06 22:28:17 UTC 2025","passed","Sat Sep 06 22:28:17 UTC 2025","","","",""
"","3","deve retornar token válido","authController","Sat Sep 06 22:28:17 UTC 2025","passed","Sat Sep 06 22:28:17 UTC 2025","","","",""
"","27","deve autenticar e acessar rota protegida","External HTTP API","Sat Sep 06 22:28:17 UTC 2025","passed","Sat Sep 06 22:28:17 UTC 2025","","","",""
"","1","deve buscar livro por id","bookController","Sat Sep 06 22:28:17 UTC 2025","passed","Sat Sep 06 22:28:17 UTC 2025","","","",""
"","1","deve listar livros","bookController","Sat Sep 06 22:28:17 UTC 2025","passed","Sat Sep 06 22:28:17 UTC 2025","","","",""
"","1","deve retornar 401 se login inválido","authController","Sat Sep 06 22:28:17 UTC 2025","passed","Sat Sep 06 22:28:17 UTC 2025","","","",""
"","1","deve criar livro","bookController","Sat Sep 06 22:28:17 UTC 2025","passed","Sat Sep 06 22:28:17 UTC 2025","","","",""
"","1","deve listar livros","GraphQL Controller (unit)","Sat Sep 06 22:28:17 UTC 2025","passed","Sat Sep 06 22:28:17 UTC 2025","","","",""
"","61","deve autenticar e acessar books (GraphQL)","External GraphQL API","Sat Sep 06 22:28:17 UTC 2025","passed","Sat Sep 06 22:28:17 UTC 2025","","","",""
